speaker,party,night,category,notes
Bernie Sanders,Democratic,1,Senator,Senator - Vermont
Catherine Cortez Masto,Democratic,1,Senator,Senator - Nevada
Andrew Cuomo,Democratic,1,Governor,Governor - New York
Gretchen Whitmer,Democratic,1,Governor,Governor - Michigan
Jim Clyburn,Democratic,1,Congress,Representative - South Carolina
Bennie Thompson,Democratic,1,Congress,Convention Chairman - Mississippi
Gwen Moore,Democratic,1,Congress,Representative - Wisconsin
John Kasich,Democratic,1,Crossover,Former Governor - Ohio (Republican)
Doug Jones,Democratic,1,Senator,Senator - Alabama
Amy Klobuchar,Democratic,1,Senator,Senator - Minnesota
Michelle Obama,Democratic,1,Headliner,Former First Lady
Eva Longoria,Democratic,1,Celebrity,Host
Stacey Abrams,Democratic,2,Activist,Keynote speaker
Sally Yates,Democratic,2,Official,Former Acting Attorney General
Chuck Schumer,Democratic,2,Senator,Senate Minority Leader - New York
John Kerry,Democratic,2,Official,Former Secretary of State
Alexandria Ocasio-Cortez,Democratic,2,Congress,Representative - New York
Lisa Blunt Rochester,Democratic,2,Congress,Representative - Delaware
Bill Clinton,Democratic,2,Headliner,Former President
Jill Biden,Democratic,2,Headliner,Former Second Lady
Nancy Pelosi,Democratic,3,Congress,Speaker of the House - California
Hillary Clinton,Democratic,3,Headliner,Former Secretary of State
Elizabeth Warren,Democratic,3,Senator,Senator - Massachusetts
Tony Evers,Democratic,3,Governor,Governor - Wisconsin
Michelle Lujan Grisham,Democratic,3,Governor,Governor - New Mexico
Gabrielle Giffords,Democratic,3,Congress,Former Representative - Arizona
Kamala Harris,Democratic,3,Headliner,Senator/VP Nominee - California
Barack Obama,Democratic,3,Headliner,Former President
Michael Bloomberg,Democratic,4,Official,Former NYC Mayor
Cory Booker,Democratic,4,Senator,Senator - New Jersey
Gavin Newsom,Democratic,4,Governor,Governor - California
Keisha Lance Bottoms,Democratic,4,Official,Mayor of Atlanta
Pete Buttigieg,Democratic,4,Candidate,Former Mayor - South Bend
Tammy Baldwin,Democratic,4,Senator,Senator - Wisconsin
Tammy Duckworth,Democratic,4,Senator,Senator - Illinois
Chris Coons,Democratic,4,Senator,Senator - Delaware
Joe Biden,Democratic,4,Headliner,Former VP/Presidential Nominee
Tim Scott,Republican,1,Senator,Senator - South Carolina
Steve Scalise,Republican,1,Congress,Representative - Louisiana
Matt Gaetz,Republican,1,Congress,Representative - Florida
Jim Jordan,Republican,1,Congress,Representative - Ohio
Nikki Haley,Republican,1,Headliner,Former UN Ambassador
Ronna McDaniel,Republican,1,Official,RNC Chairwoman
Vernon Jones,Republican,1,Crossover,Georgia State Rep (Democrat)
Amy Johnson Ford,Republican,1,Citizen,
Kimberly Guilfoyle,Republican,1,Family,Trump campaign
Natalie Harp,Republican,1,Citizen,
Charlie Kirk,Republican,1,Activist,Turning Point USA
Kim Klacik,Republican,1,Candidate,
Mark McCloskey,Republican,1,Citizen,St. Louis homeowner
Patricia McCloskey,Republican,1,Citizen,St. Louis homeowner
Sean Parnell,Republican,1,Candidate,
Andrew Pollack,Republican,1,Citizen,Parkland father
Donald Trump Jr.,Republican,1,Family,President's son
Tanya Weinreis,Republican,1,Business,
Maximo Alvarez,Republican,1,Business,
Melania Trump,Republican,2,Headliner,First Lady
Mike Pompeo,Republican,2,Cabinet,Secretary of State
Rand Paul,Republican,2,Senator,Senator - Kentucky
Kim Reynolds,Republican,2,Governor,Governor - Iowa
Jeanette Nuñez,Republican,2,Official,Lt. Governor - Florida
Daniel Cameron,Republican,2,Official,Attorney General - Kentucky
Pam Bondi,Republican,2,Official,Former Attorney General - Florida
Abby Johnson,Republican,2,Activist,Anti-abortion activist
Jason Joyce,Republican,2,Citizen,
Myron Lizer,Republican,2,Official,Navajo Nation VP
Megan Pauley,Republican,2,Citizen,
Cris Peterson,Republican,2,Business,Dairy farmer
John Peterson,Republican,2,Business,
Nicholas Sandmann,Republican,2,Citizen,
Eric Trump,Republican,2,Family,President's son
Tiffany Trump,Republican,2,Family,President's daughter
Mike Pence,Republican,3,Headliner,Vice President
Karen Pence,Republican,3,Family,Second Lady
Marsha Blackburn,Republican,3,Senator,Senator - Tennessee
Joni Ernst,Republican,3,Senator,Senator - Iowa
